23058/lx, 0, 3, 1241, 1326, 53.6%, 70.0, 1932
23613/phoebe, 0, 3, 503, 577, 48.9%, 67.6, 799
1982/aidy, 0, 3, 628, 852, 39.2%, 63.4, 1169
21037/insani, 11, 10, 7668, 6853, 55.4%, 81.0, 10443
19750/drop, 11, 10, 7109, 7352, 52.6%, 67.2, 11735
11154/exit, 11, 10, 20302, 17295, 46.4%, 75.5, 29476
20987/brnz4n, 11, 10, 9024, 8500, 57.2%, 76.6, 12858
18835/saffee, 11, 10, 12935, 10422, 30.3%, 76.3, 17200
15778/sener1, 13, 12, 11349, 12747, 52.0%, 68.5, 19088
12708/rigon, 13, 12, 14254, 14093, 54.6%, 80.5, 19190
19725/gxx, 13, 12, 13021, 11408, 31.2%, 69.8, 18696
18120/sinnopsyy, 13, 12, 18059, 19012, 56.5%, 78.2, 26447
17147/juanflatroo, 13, 12, 18214, 17519, 57.4%, 82.2, 24306
3347/seized, 16, 7, 32392, 33875, 46.3%, 71.0, 50018
20357/d1ledez, 16, 7, 9290, 8774, 60.6%, 78.6, 12871
14273/idisbalance, 16, 7, 24373, 21186, 26.6%, 72.1, 34835
17508/glowiing, 16, 7, 17169, 16802, 54.4%, 79.1, 24405
12004/clax, 16, 7, 14170, 13370, 55.2%, 73.9, 20847
20245/samey, 9, 10, 10366, 8966, 34.5%, 70.1, 14625
15940/sobol, 9, 10, 24775, 22984, 52.4%, 78.1, 34816
15203/reiko, 9, 10, 17050, 16038, 47.7%, 83.3, 22676
9798/lunatic, 9, 10, 21468, 24705, 40.5%, 67.2, 36103
22476/virtuoso, 9, 10, 4035, 4299, 51.0%, 69.8, 6433
16817/hardzao, 4, 4, 19531, 17665, 47.4%, 74.4, 28524
18865/dav1deus, 4, 4, 12637, 11322, 53.8%, 82.9, 16839
21288/venomzera, 4, 4, 7289, 6707, 59.4%, 79.2, 10006
18743/nython, 4, 4, 15329, 13597, 36.8%, 73.0, 21421
9483/destiny, 4, 4, 26009, 25176, 51.2%, 78.0, 36409
5388/rallen, 11, 7, 39232, 35904, 43.8%, 81.9, 54595
14176/misutaaa, 12, 9, 12492, 12875, 53.5%, 70.1, 19296
20283/tomiko, 4, 4, 9890, 9576, 55.6%, 78.7, 13416
19015/bymas, 12, 9, 8430, 8246, 47.0%, 70.8, 13193
7996/cruc1al, 12, 9, 32865, 29571, 29.2%, 72.9, 46071
20417/anlelele, 3, 4, 7972, 7765, 44.1%, 75.4, 11841
2898/raalz, 4, 8, 25756, 26160, 57.6%, 71.3, 39206
22702/cej0t, 4, 8, 4495, 4583, 57.2%, 78.6, 6441
19064/spooke, 4, 8, 11281, 11077, 59.2%, 78.7, 16052
22950/sl1m3, 4, 8, 2043, 1997, 35.0%, 68.9, 3007
21783/brutmonster, 2, 4, 8020, 7295, 32.5%, 72.8, 11316
8311/nemanha, 2, 4, 8082, 8474, 53.1%, 79.4, 11976
21302/cjoffo, 2, 4, 7145, 7293, 56.9%, 68.7, 11260
21784/simke, 2, 4, 7869, 8038, 61.0%, 75.2, 11359
5351/avn, 2, 4, 16259, 17468, 52.8%, 68.8, 25864
7499/spiidi, 8, 9, 41472, 41339, 40.6%, 73.5, 63834
12290/perx, 8, 9, 8389, 8412, 49.6%, 71.3, 13000
19283/panix, 8, 9, 10939, 9756, 29.8%, 73.5, 15407
20908/bevve, 1, 2, 1851, 1864, 49.2%, 77.0, 2658
20682/juve, 1, 2, 59, 79, 47.5%, 56.8, 117
14294/hazr, 1, 7, 18955, 17275, 56.0%, 81.2, 25411
20086/addict, 1, 7, 9447, 8307, 57.6%, 75.8, 13153
16323/valiance, 1, 4, 13089, 11926, 52.3%, 75.6, 18676
18736/pz, 1, 7, 11986, 10743, 30.1%, 74.2, 17139
12588/brace, 1, 7, 10140, 10885, 48.9%, 69.3, 16080
9482/nekiz, 2, 8, 22288, 22882, 48.0%, 74.1, 33383
9216/coldzera, 2, 8, 32970, 27118, 49.1%, 78.1, 43739
17585/b4rtin, 2, 8, 11896, 10950, 55.4%, 73.5, 17063
19045/latto, 2, 8, 11412, 10468, 48.6%, 77.3, 16555
15698/dumau, 2, 8, 13990, 12119, 42.6%, 80.3, 19115
20956/fozil, 0, 4, 4133, 4085, 54.7%, 76.9, 5981
21362/truniq, 0, 4, 3970, 3660, 53.1%, 79.0, 5547
17316/vert, 0, 4, 2976, 3291, 48.1%, 67.5, 4995
20828/leri511, 0, 4, 3227, 2860, 34.0%, 71.9, 4429
15983/enzero, 0, 4, 3618, 4098, 51.2%, 71.0, 5835
18717/lucaozy, 1, 4, 13916, 12218, 51.2%, 78.1, 19104
